Object_ID,Target_Class,Speed_mps,Altitude_m,Latitude,Longitude,Heading_deg,Pitch_deg,Roll_deg,Yaw_deg,Climb_Rate_mps,Acceleration_mps2,Turn_Rate_degps,Range_From_Radar_km,Bearing_deg,Radar_Cross_Section_m2,Doppler_Shift_Hz,Signal_to_Noise_Ratio_dB,Radar_Return_Strength,Infrared_Intensity,Engine_Type,Heat_Signature,Length_m,Wingspan_m,Estimated_Mass_kg,Flight_Profile,Maneuverability_Index,Max_G_Load,Weather,Visibility_km,Wind_Speed_mps,Temperature_C,Humidity_pct,Radar_Band,Sensor_Type,Detection_Time_ms,Tracking_Confidence,Track_Age_s,Number_of_Tracks,Electronic_Jamming,Chaff_Flares_Detected,Stealth_Category,Threat_Level,Target_Label
1,Fighter,696.8,5852.4,-37.63556,113.87207,66,11.8,20.1,98,-3.2,10.38,18.41,14.3,105,8.24,24795,23.1,0.814,Low,Jet,High,22,59.3,95383,Combat,1,12,Storm,23.3,14.4,28.5,65,C,AWACS,394,0.921,424.5,85,Strong,No,Low,Medium,Fighter
2,Ballistic Missile,5885.9,13959.4,-58.73083,-9.28546,46,2.8,16.7,173,44.8,3.82,16.65,165.1,2,43.99,427,16.4,0.443,Low,Rocket,Very High,24.3,21.6,161974,Ballistic,3,5,Storm,25.5,22.6,12.2,45,X,AESA,500,0.787,377.2,170,Moderate,Yes,Medium,Low,Ballistic Missile
3,Ballistic Missile,5628.7,24157.9,59.19047,-124.66971,232,13.4,46.7,320,28.1,15.11,20.17,340.2,176,6.69,-32634,21.5,0.336,Low,Rocket,Very High,47.2,34.8,135328,Ballistic,4,23,Fog,15.9,15.6,-11.7,31,X,Ground Radar,119,0.626,18.1,175,Weak,Yes,Medium,Medium,Ballistic Missile
4,Hypersonic Missile,3103.7,16673.7,-52.63082,64.04288,34,-14.1,-45.4,75,3.9,6.44,13.01,142.7,109,5.04,-4505,10,0.437,Very High,Scramjet,Very High,49.3,1.7,178650,Glide,5,29,Clear,3.4,21.9,42.8,33,L,IRST,372,0.836,116.6,51,Weak,No,High,High,Hypersonic Missile
5,Helicopter,49.7,6239.7,47.15456,-154.08216,172,-4.3,22.3,53,32.6,2.46,27.98,56.4,107,26.88,-26723,16,0.931,Medium,Turboshaft,Medium,14.3,39.8,104292,Hover,9,13,Storm,27.5,1.2,-7,76,S,AESA,477,0.703,206.5,169,Moderate,Yes,Medium,High,Helicopter
6,Cruise Missile,267.1,42719.7,-35.16979,20.20592,279,-19.6,54.7,326,-38.6,-1.4,2.19,57.9,327,43.01,-15305,30.5,0.625,Very High,Turbojet,Medium,24.3,21.9,78345,Terrain Following,9,23,Clear,29.9,10,1.2,34,L,IRST,54,0.823,209,56,,No,Low,Medium,Cruise Missile
7,Helicopter,67.1,45189.2,-16.04484,29.61123,197,3.1,3.5,291,-29,0.97,3.14,203.8,204,16.6,-49850,18.1,0.729,High,Turboshaft,Medium,23.2,52,139360,Hover,9,9,Clear,3.9,3.3,31.6,100,S,Ground Radar,455,0.856,124.9,127,Moderate,Yes,Medium,Medium,Helicopter
8,Transport Aircraft,241.5,27913.4,-56.17634,-85.64968,353,-16.9,-8.4,289,-23.6,18.97,1.27,253.3,69,30.56,-33518,8.9,0.885,Low,Turbofan,High,29.4,12,24851,Cruise,8,28,Rain,23.3,19.5,-10.4,18,X,IRST,107,0.751,255,73,,Yes,High,Medium,Transport Aircraft
9,Helicopter,40.1,4346.4,37.28945,49.40156,191,-13.3,-54.5,120,-10.6,9.74,16.96,56.3,96,45.79,7892,34,0.829,Low,Turboshaft,Medium,37.1,51.1,123849,Hover,10,5,Storm,21.7,12.3,-12.7,49,S,Ground Radar,367,0.626,131.5,154,Strong,Yes,Low,High,Helicopter
10,Hypersonic Missile,2161.5,36353.2,43.61576,-8.76853,182,2,59.5,225,8.6,-0.92,27.85,120.9,323,16.21,-15825,18.8,0.339,Very High,Scramjet,Very High,50,6.2,2072,Glide,4,18,Rain,2.3,13.4,30.3,46,S,IRST,42,0.687,70,56,,Yes,Low,Medium,Hypersonic Missile
